Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,140.181824,142.109085,139.763641,140.454544,135.460526,527448
2022-01-04,141.199997,143.272720,140.345459,143.163635,138.073303,822816
2022-01-05,142.945450,145.490906,142.945450,145.490906,140.317810,885134
2022-01-06,144.000000,145.090912,142.690903,142.727264,137.652435,860621
2022-01-07,142.018188,143.472733,141.381821,142.218185,137.161469,765055
2022-01-10,143.018188,144.163635,141.618179,141.890915,136.845825,642667
2022-01-11,142.727264,144.218185,142.199997,142.490906,137.424484,739732
2022-01-12,143.527267,144.163635,142.563629,143.818176,138.704575,684600
2022-01-13,143.836365,144.545456,142.345459,142.345459,137.284210,715426
2022-01-14,142.090912,142.090912,139.618179,140.672729,135.670959,789144
2022-01-17,140.981812,141.836365,140.254547,141.181824,136.161957,529238
2022-01-18,141.109085,141.181824,139.618179,139.618179,134.653900,977719
2022-01-19,139.236359,142.363632,138.727264,141.636368,136.600327,744925
2022-01-20,141.272720,143.545456,140.454544,143.218185,138.125916,686928
2022-01-21,141.236359,142.454544,139.636368,141.090912,136.074265,1006574
2022-01-24,140.618179,142.072723,136.909088,137.018188,132.146362,1167027
2022-01-25,138.927277,139.018188,137.218185,138.272720,133.356277,858370
2022-01-26,138.690903,140.363632,138.236359,138.527267,133.601791,738658
2022-01-27,138.090912,140.690903,137.727264,139.563629,134.601303,815665
2022-01-28,138.381821,138.818176,136.054550,137.454544,132.567200,1012717
2022-01-31,138.690903,139.000000,136.272720,137.618179,132.725006,988223
2022-02-01,138.290909,139.654541,138.018188,138.236359,133.321213,721404
2022-02-02,139.545456,140.290909,138.890915,140.018188,135.039688,657701
2022-02-03,140.290909,140.309097,137.163635,137.272720,132.391846,776174
2022-02-04,137.236359,137.418182,132.927277,133.872726,129.112747,1225108
2022-02-07,134.309097,134.545456,131.854538,133.181824,128.446396,684732
2022-02-08,133.509094,134.727264,131.836365,132.563629,127.850189,886966
2022-02-09,133.090912,134.527267,132.236359,132.600006,127.885269,1017465
2022-02-10,132.872726,135.563629,132.690903,134.545456,129.761536,1108855
2022-02-11,133.490906,133.672729,129.781815,130.618179,125.973900,1201706
