Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,92.779999,93.940002,92.339996,92.680000,86.241699,1027153
2022-01-04,93.510002,95.190002,93.470001,94.730003,88.149292,1125502
2022-01-05,94.790001,95.099998,94.379997,94.459999,87.898041,1075604
2022-01-06,93.459999,94.930000,91.849998,94.260002,87.711937,1206340
2022-01-07,94.209999,94.620003,93.300003,94.050003,87.516525,1139007
2022-01-10,94.260002,95.430000,93.779999,94.360001,87.804985,1238548
2022-01-11,94.489998,95.110001,94.110001,95.000000,88.400536,1031600
2022-01-12,95.889999,96.080002,94.570000,95.199997,88.586632,1062522
2022-01-13,96.349998,97.599998,95.739998,97.470001,90.698944,1374483
2022-01-14,97.139999,98.699997,96.959999,98.470001,91.629478,1433414
2022-01-17,98.529999,99.110001,97.930000,97.930000,91.126984,837723
2022-01-18,97.680000,98.320000,96.870003,98.139999,91.322403,1057218
2022-01-19,98.139999,98.629997,97.489998,98.190002,91.368927,1145741
2022-01-20,99.000000,99.150002,97.860001,98.870003,92.001694,1026699
2022-01-21,98.279999,98.330002,97.290001,98.300003,91.471283,1426168
2022-01-24,97.690002,97.849998,94.389999,95.279999,88.661079,1817976
2022-01-25,96.730003,96.959999,94.580002,95.559998,88.921623,1359447
2022-01-26,96.279999,98.110001,96.239998,97.180000,90.429085,1362426
2022-01-27,95.889999,98.019997,95.300003,97.570000,90.791992,1367250
2022-01-28,98.510002,98.610001,95.300003,96.720001,90.001045,1217637
2022-01-31,97.500000,97.889999,95.449997,96.660004,89.945213,1794098
2022-02-01,97.150002,97.750000,96.769997,97.580002,90.801300,1063360
2022-02-02,97.849998,98.599998,97.330002,97.980003,91.173515,1002021
2022-02-03,98.169998,98.480003,96.849998,97.570000,90.791992,1362777
2022-02-04,100.000000,100.820000,96.879997,98.190002,91.368927,1956138
2022-02-07,99.279999,99.570000,97.620003,98.900002,92.029602,1191332
2022-02-08,98.589996,101.919998,98.339996,101.360001,94.318710,1493398
2022-02-09,101.940002,103.279999,101.879997,103.000000,95.844780,1428538
2022-02-10,102.320000,103.739998,102.320000,102.760002,95.621452,1278031
2022-02-11,102.000000,102.779999,101.160004,102.220001,95.118973,1222595
2022-02-14,100.559998,100.739998,98.190002,100.040001,93.090408,1710031
2022-02-15,100.000000,101.739998,99.540001,101.580002,94.523430,1351790
2022-02-16,102.220001,103.379997,101.739998,102.559998,95.435341,1199835
2022-02-17,102.059998,102.860001,100.459999,102.180000,95.081749,1268721
2022-02-18,102.879997,103.680000,100.680000,100.980003,93.965111,1458677
2022-02-21,102.000000,102.519997,98.519997,99.360001,92.457649,1300245
2022-02-22,96.800003,99.099998,96.220001,97.820000,91.024628,1563308
2022-02-23,97.919998,99.300003,96.260002,96.809998,90.084793,1344714
2022-02-24,93.419998,95.470001,92.199997,93.019997,86.558075,3045657
2022-02-25,92.500000,96.080002,92.300003,95.800003,89.144951,2367282
2022-02-28,93.540001,95.080002,92.010002,94.519997,87.953873,2510554
2022-03-01,94.160004,95.169998,91.419998,91.480003,85.125061,1753389
2022-03-02,91.470001,93.910004,89.879997,93.070000,86.604599,2300450
2022-03-03,92.550003,93.919998,91.220001,91.720001,85.348389,1302604
2022-03-04,90.699997,90.910004,86.160004,86.230003,80.239769,2414199
2022-03-07,83.230003,86.239998,80.739998,82.050003,76.350136,4302650
2022-03-08,81.370003,85.949997,81.000000,84.459999,78.592728,3748085
2022-03-09,87.000000,90.910004,85.889999,90.730003,84.427162,3391175
2022-03-10,90.339996,90.860001,86.879997,87.849998,81.747223,2040591
2022-03-11,87.889999,91.589996,87.000000,88.459999,82.314850,1681763
2022-03-14,89.660004,92.440002,89.320000,91.470001,85.115753,1566812
2022-03-15,90.500000,92.139999,89.349998,91.320000,84.976166,1551035
2022-03-16,93.449997,94.940002,92.860001,93.139999,86.669739,1781356
2022-03-17,93.070000,94.699997,92.070000,93.410004,86.920982,1399581
2022-03-18,93.070000,93.290001,91.300003,92.589996,86.157936,2332715
2022-03-21,92.019997,93.430000,92.019997,92.300003,85.888100,926770
2022-03-22,92.750000,93.949997,92.610001,93.500000,87.004738,946288
2022-03-23,93.260002,94.199997,91.629997,91.919998,85.534485,919684
2022-03-24,92.129997,93.019997,90.839996,91.529999,85.171585,1304323
2022-03-25,91.769997,92.430000,91.099998,91.739998,85.366989,913528
2022-03-28,92.059998,93.919998,92.059998,92.099998,85.701981,958311
2022-03-29,93.470001,95.919998,93.440002,95.349998,88.726219,1238319
2022-03-30,94.010002,94.459999,93.050003,93.730003,87.218750,1127316
2022-03-31,93.660004,94.440002,92.650002,92.989998,86.530151,1101636
2022-04-01,93.709999,94.300003,93.000000,93.660004,87.153610,702672
2022-04-04,94.599998,94.760002,91.550003,92.150002,85.748512,1031344
2022-04-05,91.910004,92.279999,87.010002,88.379997,82.240402,1828866
2022-04-06,88.010002,89.059998,85.430000,86.309998,80.314201,1811900
2022-04-07,87.570000,89.089996,86.559998,87.040001,80.993492,1727794
2022-04-08,89.110001,89.830002,87.400002,88.169998,82.044991,1207663
2022-04-11,89.309998,91.320000,88.739998,90.349998,84.073555,1081106
2022-04-12,88.860001,91.639999,88.129997,90.910004,84.594658,1300937
2022-04-13,90.269997,91.309998,89.949997,90.290001,84.017731,992659
2022-04-14,90.199997,90.459999,89.589996,89.970001,83.719948,1425824
2022-04-19,89.099998,90.300003,88.540001,89.239998,83.040665,1474031
2022-04-20,89.339996,92.089996,89.339996,91.830002,85.450745,1558850
2022-04-21,92.930000,94.900002,92.809998,94.650002,88.074837,1417854
2022-04-22,91.110001,94.650002,91.110001,92.900002,86.446411,1395618
2022-04-25,93.000000,95.230003,92.849998,94.099998,87.563042,1772052
2022-04-26,93.750000,93.790001,91.440002,92.800003,88.468712,1713635
2022-04-27,92.500000,93.139999,90.730003,92.150002,87.849052,1235068
2022-04-28,93.099998,94.419998,91.860001,92.959999,88.621246,1131588
2022-04-29,93.209999,93.300003,92.089996,92.839996,88.506844,1127582
2022-05-02,91.739998,91.889999,89.500000,91.070000,86.819458,939485
2022-05-03,91.820000,92.839996,91.500000,92.730003,88.401978,978454
2022-05-04,92.510002,92.870003,91.320000,91.320000,87.057785,906513
2022-05-05,93.199997,93.669998,90.680000,91.059998,86.809914,935219
2022-05-06,90.709999,91.559998,89.959999,90.389999,86.171188,1255892
2022-05-09,89.839996,90.739998,89.339996,89.339996,85.170197,1105143
2022-05-10,90.379997,90.639999,88.860001,88.860001,84.712608,941517
2022-05-11,89.680000,91.570000,89.389999,91.019997,86.771790,1421318
2022-05-12,89.680000,91.330002,89.389999,90.379997,86.161659,1265227
2022-05-13,91.510002,92.919998,90.970001,92.550003,88.230385,944891
2022-05-16,92.339996,92.709999,91.430000,92.559998,88.239914,1024103
2022-05-17,92.500000,93.290001,92.320000,92.930000,88.592644,666382
2022-05-18,93.199997,93.379997,92.120003,92.410004,88.096916,831611
2022-05-19,91.559998,91.739998,90.400002,90.760002,86.523926,891185
2022-05-20,90.989998,92.099998,90.410004,90.959999,86.714592,1094925
2022-05-23,90.000000,90.389999,86.570000,89.860001,85.665932,1532698
2022-05-24,89.059998,89.379997,88.400002,88.809998,84.664932,1086162
2022-05-25,89.559998,90.339996,88.629997,89.550003,85.370407,884646
2022-05-26,89.790001,92.650002,89.529999,92.089996,87.791847,853246
2022-05-27,92.610001,92.970001,91.660004,92.730003,88.401978,715971
2022-05-30,92.750000,92.750000,91.050003,91.699997,87.420052,779276
2022-05-31,91.139999,91.269997,89.360001,89.680000,85.494339,3483331
2022-06-01,90.709999,91.379997,89.309998,89.309998,85.141594,1019222
2022-06-02,89.760002,90.360001,89.459999,89.809998,85.618263,739637
2022-06-03,90.080002,90.650002,89.680000,90.139999,85.932861,603419
2022-06-06,89.989998,91.989998,89.849998,91.419998,87.153122,845124
2022-06-07,90.889999,91.970001,90.199997,90.699997,86.466721,753621
2022-06-08,91.459999,91.660004,90.500000,90.720001,86.485794,979792
2022-06-09,90.750000,91.900002,90.220001,90.800003,86.562065,977843
2022-06-10,90.300003,90.389999,88.139999,88.180000,84.064339,996063
2022-06-13,87.330002,87.709999,85.580002,86.000000,81.986092,1085703
2022-06-14,86.730003,86.980003,83.620003,83.690002,79.783905,1404945
2022-06-15,84.699997,86.400002,84.349998,85.580002,81.585693,1161627
2022-06-16,85.589996,86.180000,84.349998,84.760002,80.803963,983078
2022-06-17,84.980003,87.220001,84.379997,85.010002,81.042297,4673823
2022-06-20,85.000000,85.339996,83.790001,85.070000,81.099495,1080556
2022-06-21,85.500000,86.190002,84.209999,84.470001,80.527504,891629
2022-06-22,83.699997,85.879997,82.769997,85.610001,81.614296,1181228
2022-06-23,85.349998,86.750000,84.540001,85.199997,81.223427,1097884
2022-06-24,87.339996,88.160004,86.110001,87.750000,83.654411,1045764
2022-06-27,88.269997,88.300003,85.970001,86.169998,82.148155,808200
2022-06-28,87.860001,88.470001,87.139999,87.669998,83.578148,894225
2022-06-29,86.660004,87.730003,86.099998,86.519997,82.481812,809183
2022-06-30,85.120003,85.400002,83.980003,84.959999,80.994637,1445249
2022-07-01,84.879997,86.309998,84.169998,85.849998,81.843086,886245
2022-07-04,86.000000,87.089996,85.989998,86.400002,82.367424,589296
2022-07-05,86.620003,86.699997,82.900002,82.900002,79.030777,1125480
2022-07-06,83.889999,84.910004,83.860001,84.660004,80.708641,1138970
2022-07-07,85.879997,86.889999,85.830002,86.370003,82.338821,1468591
2022-07-08,86.309998,88.250000,86.050003,88.180000,84.064339,943379
2022-07-11,86.699997,87.889999,86.040001,86.320000,82.291153,1116903
2022-07-12,85.830002,87.879997,85.559998,87.629997,83.540009,958815
2022-07-13,86.370003,87.139999,85.629997,86.660004,82.615288,913507
2022-07-14,86.430000,86.790001,84.589996,85.230003,81.252029,893972
2022-07-15,85.550003,88.169998,85.470001,87.769997,83.673470,1021023
2022-07-18,88.120003,88.300003,87.459999,87.830002,83.730675,569138
2022-07-19,87.190002,90.260002,87.070000,90.010002,85.808929,873018
2022-07-20,90.349998,90.820000,88.629997,88.919998,84.769798,1007070
2022-07-21,88.709999,89.699997,88.080002,89.000000,84.846069,977569
2022-07-22,88.639999,90.220001,88.269997,89.570000,85.389465,883184
2022-07-25,89.239998,90.400002,89.239998,90.050003,85.847069,726556
2022-07-26,89.660004,90.150002,89.010002,89.919998,85.723122,865550
2022-07-27,90.440002,90.750000,89.720001,89.849998,85.656395,640752
2022-07-28,89.989998,90.690002,89.599998,90.540001,86.314194,892536
2022-07-29,91.449997,93.980003,91.449997,93.379997,89.021637,1576314
2022-08-01,93.089996,93.570000,91.750000,91.750000,87.467720,876166
2022-08-02,91.589996,92.040001,91.209999,91.419998,87.153122,680429
2022-08-03,91.470001,92.779999,90.919998,92.449997,88.135040,627381
2022-08-04,92.019997,93.570000,92.019997,93.099998,88.754707,694162
2022-08-05,92.900002,93.110001,91.809998,91.900002,87.610718,1010597
2022-08-08,92.139999,93.599998,92.139999,92.699997,88.373375,651349
2022-08-09,92.260002,93.269997,92.080002,93.199997,88.850044,840732
2022-08-10,93.379997,94.040001,93.169998,93.489998,89.126503,607822
2022-08-11,94.000000,94.580002,93.500000,94.360001,89.955902,622534
2022-08-12,93.860001,94.739998,93.860001,94.010002,89.622246,711575
2022-08-15,94.500000,94.529999,93.849998,94.480003,90.070313,509300
2022-08-16,94.309998,95.379997,94.309998,95.209999,90.766235,741761
2022-08-17,95.379997,95.599998,94.010002,94.169998,89.774773,624948
2022-08-18,94.139999,94.889999,94.010002,94.309998,89.908234,457066
2022-08-19,93.739998,94.110001,93.290001,93.790001,89.412506,800411
2022-08-22,93.370003,93.370003,91.489998,92.269997,87.963448,677345
2022-08-23,91.720001,93.010002,91.529999,92.639999,88.316177,745000
2022-08-24,92.470001,92.919998,92.120003,92.919998,88.583107,679325
2022-08-25,93.459999,94.730003,92.870003,93.070000,88.726112,720042
2022-08-26,93.349998,93.550003,91.550003,91.949997,87.658386,702716
2022-08-29,90.800003,91.779999,90.300003,91.779999,87.496315,617351
2022-08-30,92.120003,93.019997,91.779999,92.000000,87.706055,553243
2022-08-31,92.400002,93.279999,92.080002,92.250000,87.944382,1475867
2022-09-01,91.989998,92.120003,90.919998,91.709999,87.429581,692679
