Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,13.066000,13.320000,13.062000,13.190000,10.319775,3922960
2022-01-04,13.240000,13.360000,13.154000,13.340000,10.437133,4244064
2022-01-05,13.308000,13.376000,13.258000,13.280000,10.390190,3693187
2022-01-06,13.150000,13.238000,13.076000,13.200000,10.327599,5977959
2022-01-07,13.174000,13.294000,13.132000,13.250000,10.366718,3921852
2022-01-10,13.328000,13.416000,13.276000,13.334000,10.432439,4215150
2022-01-11,13.388000,13.538000,13.316000,13.538000,10.592047,5793164
2022-01-12,13.622000,13.914000,13.610000,13.756000,10.762609,8365257
2022-01-13,13.754000,13.916000,13.748000,13.886000,10.864321,6436285
2022-01-14,13.562000,13.886000,13.460000,13.886000,10.864321,8114364
2022-01-17,13.890000,13.900000,13.796000,13.850000,10.836154,2974555
2022-01-18,13.822000,13.866000,13.678000,13.754000,10.761044,5242322
2022-01-19,13.702000,13.772000,13.422000,13.504000,10.565446,7631593
2022-01-20,13.550000,13.760000,13.512000,13.732000,10.743833,5863641
2022-01-21,13.576000,13.700000,13.488000,13.546000,10.598307,7312448
2022-01-24,13.436000,13.572000,13.054000,13.172000,10.305691,9057856
2022-01-25,13.192000,13.256000,13.056000,13.130000,10.272831,6756339
2022-01-26,13.208000,13.452000,13.142000,13.374000,10.463735,6576425
2022-01-27,13.176000,13.748000,13.150000,13.672000,10.696889,7615225
2022-01-28,13.714000,13.720000,13.346000,13.558000,10.607695,7146165
2022-01-31,13.666000,13.698000,13.474000,13.554000,10.604565,5954495
2022-02-01,13.698000,13.820000,13.604000,13.720000,10.734444,5403257
2022-02-02,13.768000,13.858000,13.720000,13.858000,10.842414,5020652
2022-02-03,13.898000,14.226000,13.860000,14.060000,11.000458,7524862
2022-02-04,14.174000,14.228000,13.970000,14.104000,11.034882,6479696
2022-02-07,14.108000,14.208000,13.996000,14.108000,11.038012,4804850
2022-02-08,14.108000,14.326000,14.106000,14.282000,11.174149,6986858
2022-02-09,14.400000,14.554000,14.308000,14.308000,11.194490,7075297
2022-02-10,14.450000,14.600000,14.390000,14.568000,11.397913,6341018
2022-02-11,14.416000,14.564000,14.320000,14.538000,11.374442,5266377
2022-02-14,14.440000,14.476000,14.118000,14.298000,11.186667,7328440
2022-02-15,14.000000,14.436000,13.850000,14.230000,11.133464,7752714
2022-02-16,14.298000,14.340000,14.070000,14.132000,11.056788,6263343
2022-02-17,14.172000,14.526000,14.068000,14.404000,11.269601,6342938
2022-02-18,14.380000,14.606000,14.362000,14.480000,11.329062,8214860
2022-02-21,14.484000,14.594000,14.204000,14.298000,11.186667,6934975
2022-02-22,14.000000,14.404000,13.960000,14.402000,11.268036,7548866
2022-02-23,14.412000,14.604000,14.362000,14.390000,11.258647,6132992
2022-02-24,13.770000,13.996000,13.552000,13.716000,10.731314,13338185
2022-02-25,13.722000,14.514000,13.720000,14.416000,11.278989,12741824
2022-02-28,14.128000,14.400000,13.942000,14.268000,11.163195,10732288
2022-03-01,14.080000,14.126000,12.258000,12.386000,9.690729,23627699
2022-03-02,12.182000,12.484000,12.000000,12.078000,9.449752,15072372
2022-03-03,12.126000,12.130000,11.262000,11.322000,8.858263,17120731
2022-03-04,11.260000,11.314000,10.646000,10.732000,8.396650,14715621
2022-03-07,10.286000,10.410000,9.801000,10.100000,7.902178,18619691
2022-03-08,9.856000,10.670000,9.789000,10.484000,8.202617,13693232
2022-03-09,11.002000,11.324000,10.774000,11.248000,8.800365,19325016
2022-03-10,11.400000,11.430000,10.778000,11.072000,8.662663,10992038
2022-03-11,11.098000,11.404000,10.956000,11.070000,8.661099,10995201
2022-03-14,11.264000,11.560000,11.206000,11.428000,8.941196,7166499
2022-03-15,11.334000,11.598000,11.180000,11.534000,9.024131,6904431
2022-03-16,11.820000,12.156000,11.638000,11.780000,9.216599,10584299
2022-03-17,11.934000,12.086000,11.800000,12.086000,9.456013,8657014
2022-03-18,12.012000,12.102000,11.780000,12.072000,9.445058,13587271
2022-03-21,12.108000,12.214000,12.034000,12.064000,9.438799,4541566
2022-03-22,12.100000,12.424000,12.086000,12.310000,9.631269,6779169
2022-03-23,12.364000,12.418000,11.952000,11.982000,9.374642,6322187
2022-03-24,12.004000,12.046000,11.666000,11.808000,9.238506,7164013
2022-03-25,11.750000,11.874000,11.714000,11.798000,9.230682,4662985
2022-03-28,11.800000,12.082000,11.798000,11.826000,9.252589,4679070
2022-03-29,12.000000,12.244000,11.928000,12.090000,9.459142,7319373
2022-03-30,12.146000,12.160000,11.860000,12.070000,9.443493,5528768
2022-03-31,12.140000,12.276000,11.852000,11.934000,9.337088,7093779
2022-04-01,11.952000,12.146000,11.896000,11.926000,9.330829,5254992
2022-04-04,12.050000,12.110000,11.902000,12.000000,9.388726,4138363
2022-04-05,11.972000,12.086000,11.612000,11.784000,9.219729,8097978
2022-04-06,11.710000,11.846000,11.462000,11.754000,9.196256,8369303
2022-04-07,11.820000,11.882000,11.474000,11.544000,9.031954,8518027
2022-04-08,11.776000,11.820000,11.614000,11.614000,9.086722,9425477
2022-04-11,11.820000,11.888000,11.484000,11.520000,9.013177,6816169
2022-04-12,11.400000,11.538000,11.060000,11.448000,8.956845,6204182
2022-04-13,11.350000,11.662000,11.316000,11.612000,9.085157,5656295
2022-04-14,11.602000,11.696000,11.520000,11.654000,9.118017,5104126
2022-04-19,11.632000,11.816000,11.544000,11.686000,9.143054,6112032
2022-04-20,11.752000,12.114000,11.688000,12.006000,9.393419,5938349
2022-04-21,12.066000,12.408000,12.010000,12.164000,9.517038,8373192
2022-04-22,12.126000,12.164000,11.988000,12.078000,9.449752,7328004
