Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,709.000000,712.299988,706.299988,708.000000,667.572510,88199
2022-01-04,713.000000,723.099976,709.200012,719.500000,678.415894,180553
2022-01-05,715.599976,740.799988,713.000000,740.799988,698.499634,218880
2022-01-06,723.299988,729.700012,716.299988,718.099976,677.095825,251849
2022-01-07,716.200012,727.700012,712.200012,717.400024,676.435791,204508
2022-01-10,734.799988,738.299988,690.400024,694.099976,654.466248,219738
2022-01-11,704.200012,724.599976,704.200012,710.299988,669.741150,178193
2022-01-12,718.000000,719.000000,706.000000,715.099976,674.267029,179491
2022-01-13,708.900024,709.500000,680.900024,685.900024,649.915466,209470
2022-01-14,676.299988,677.599976,657.700012,665.500000,630.585693,228410
2022-01-17,670.299988,684.700012,667.799988,681.299988,645.556763,162244
2022-01-18,678.299988,679.200012,659.000000,667.700012,632.670288,200783
2022-01-19,670.000000,695.599976,668.599976,680.799988,645.082947,195831
2022-01-20,684.900024,687.500000,670.000000,681.900024,646.125305,148505
2022-01-21,670.099976,674.400024,660.299988,668.799988,633.712524,220178
2022-01-24,665.000000,673.099976,639.000000,648.900024,614.856567,254701
2022-01-25,665.200012,665.500000,641.400024,644.799988,610.971680,193367
2022-01-26,650.700012,662.599976,650.000000,656.500000,622.057922,161573
2022-01-27,641.900024,656.099976,640.200012,653.000000,618.741516,170125
2022-01-28,667.099976,675.400024,632.099976,647.799988,613.814270,247060
2022-01-31,656.500000,663.299988,648.700012,656.299988,621.868286,179703
2022-02-01,662.700012,676.799988,661.500000,671.700012,636.460449,172289
2022-02-02,686.000000,693.200012,679.000000,679.000000,643.377441,185164
2022-02-03,670.700012,679.500000,654.700012,659.400024,624.805725,246415
2022-02-04,663.500000,665.000000,647.900024,652.200012,617.983459,173289
2022-02-07,655.000000,655.599976,642.000000,649.400024,615.330383,110257
2022-02-08,649.299988,656.799988,635.900024,643.500000,609.739807,152715
2022-02-09,647.000000,655.500000,644.200012,645.000000,611.161194,235170
2022-02-10,649.500000,650.000000,627.500000,628.799988,595.811096,227926
2022-02-11,621.000000,629.599976,617.400024,619.799988,587.283203,218931
2022-02-14,600.299988,616.200012,594.700012,616.200012,583.872070,250681
2022-02-15,613.900024,633.099976,613.000000,631.500000,598.369446,231003
2022-02-16,634.900024,640.299988,624.000000,632.599976,599.411682,157701
2022-02-17,668.000000,682.400024,661.799988,663.900024,629.069702,407464
2022-02-18,666.299988,676.700012,662.500000,666.599976,631.627930,233600
2022-02-21,674.000000,675.000000,643.200012,651.799988,617.604431,169944
2022-02-22,636.099976,652.299988,626.500000,643.099976,609.360840,208272
